SALES_CHANNEL,TOTAL_PRICE,FINAL_RESULT,HOUR_OF_DAY,ACTIVE_WATCH_DURATION_MINS,ORDER_HOLD_DURATION_MINS,ACCOUNT_OPEN_TO_ORDER_MINS,CASECLOSE_TO_ORDERCLOSE_MINS,CASEOPEN_TO_CASECLOSE_MINS,Risk Label
ONLINE,2670.02,RED,22,20.17,20.55,238848.08,4469.22,4479.77,Fraud
TELESALES,126.96,GREEN,17,15.08,16.88,9.8,4591.62403938334,4040.2939254951734,Good
ONLINE,1286.52,YELLOW,12,16.83,19.08,27178.57,267.52,1778.5,Good
TELESALES,0.0,GREEN,23,19.511607066635072,36.8472312529113,133042.8,4591.62403938334,4040.2939254951734,Good
TELESALES,641.99,GREEN,23,19.0,20.7,118414.52,4591.62403938334,4040.2939254951734,Good
TELESALES,802.26,GREEN,21,17.38,19.03,10244.4,4591.62403938334,4040.2939254951734,Good
TELESALES,128.39,GREEN,17,21.62,44.52,2.72,4591.62403938334,4040.2939254951734,Good
TELESALES,809.76,GREEN,19,19.511607066635072,12.05,4.72,4591.62403938334,4040.2939254951734,Good
RETAIL,254.76,RED,17,20.88,23.63,2.4,8.15,1277.25,Fraud
TELESALES,0.0,GREEN,17,19.511607066635072,36.8472312529113,8.23,4591.62403938334,4040.2939254951734,Good
TELESALES,128.16,GREEN,14,19.511607066635072,15.6,2.03,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,12,19.511607066635072,36.8472312529113,61381.0,4591.62403938334,4040.2939254951734,Good
ONLINE,621.05,GREEN,1,19.511607066635072,14.82,407282.17,4591.62403938334,4040.2939254951734,Good
ONLINE,637.26,GREEN,20,19.511607066635072,11.25,368060.27,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,20,19.511607066635072,36.8472312529113,1.37,4591.62403938334,4040.2939254951734,Good
TELESALES,128.69,GREEN,18,24.2,24.87,6.4,4591.62403938334,4040.2939254951734,Good
RETAIL,255.42,GREEN,15,19.511607066635072,10.5,8.32,4591.62403938334,4040.2939254951734,Good
ONLINE,653.76,GREEN,13,19.511607066635072,5.48,100215.05,4591.62403938334,4040.2939254951734,Good
TELESALES,529.92,GREEN,20,15.48,16.55,2.5,4591.62403938334,4040.2939254951734,Collections
TELESALES,239.52,GREEN,22,19.511607066635072,11.02,4.3,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,RED,15,19.511607066635072,36.8472312529113,3.03,4591.62403938334,4040.2939254951734,Good
ONLINE,652.26,GREEN,3,19.87,21.57,433329.78,4591.62403938334,4040.2939254951734,Good
ONLINE,1178.29,GREEN,0,19.511607066635072,19.55,773122.28,4591.62403938334,4040.2939254951734,Good
ONLINE,1066.09,GREEN,19,22.28,24.2,1012299.9,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,RED,21,19.511607066635072,36.8472312529113,14.48,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,21,19.511607066635072,36.8472312529113,928039.72,4591.62403938334,4040.2939254951734,Good
